index,location,time_of_day,soc,distance,coil_type,duration,v_pri_v,a_pri_a,v_sin_v,a_sin_a,v_sout_v,a_sout_a,t_coil_c,t_ambiant_c,timestamp
0,Umraniye,Evening,80%,20,Single,30,212,7.5,162,9.5,54,24,45,26,2025-03-21 15:29:12
1,Umraniye,Evening,80%,20,Single,30,210,7.4,156,9.2,54,24,46,28,2025-03-21 15:29:17
2,Umraniye,Evening,80%,20,Single,30,210,7.3,162,9.2,54,24,50,28,2025-03-21 15:29:22
3,Umraniye,Evening,80%,20,Single,30,206,7.4,162,8.9,54,24,52,24,2025-03-21 15:29:27
4,Umraniye,Evening,80%,20,Single,30,208,7.3,162,9.3,54,24,53,23,2025-03-21 15:29:32
5,Umraniye,Evening,80%,20,Single,30,210,7.5,162,9.3,54,24,53,26,2025-03-21 15:29:37
6,Umraniye,Evening,80%,20,Single,30,210,7.1,162,9.5,54,24,53,27,2025-03-21 15:29:42
7,Umraniye,Evening,80%,20,Single,30,210,7.5,162,9.2,54,24,54,28,2025-03-21 15:29:47
8,Umraniye,Evening,80%,20,Single,30,210,7.5,162,9.2,54,24,55,25,2025-03-21 15:29:52
9,Umraniye,Evening,80%,20,Single,30,208,7.4,162,9.3,54,24,55,27,2025-03-21 15:29:57
10,Umraniye,Evening,80%,20,Single,30,208,7.3,162,9.3,54,24,55,28,2025-03-21 15:30:02
11,Umraniye,Evening,80%,20,Single,30,208,7.4,162,9.1,54,24,55,26,2025-03-21 15:30:07
12,Umraniye,Evening,80%,20,Single,30,208,7.1,162,9.6,54,24,57,23,2025-03-21 15:30:12
13,Umraniye,Evening,80%,20,Single,30,208,7.5,162,8.6,54,24,56,29,2025-03-21 15:30:17
14,Umraniye,Evening,80%,20,Single,30,208,7.5,162,8.6,54,24,58,23,2025-03-21 15:30:22
15,Umraniye,Evening,80%,20,Single,30,208,7.4,162,9.1,54,24,57,28,2025-03-21 15:30:27
16,Umraniye,Evening,80%,20,Single,30,208,7.4,162,9.2,54,24,57,29,2025-03-21 15:30:32
