index,location,time_of_day,soc,distance,coil_type,duration,v_pri_v,a_pri_a,v_sin_v,a_sin_a,v_sout_v,a_sout_a,t_coil_c,t_ambiant_c,timestamp
0,Umraniye,Noon,20%,40,Single,60,210,4.7,164,4.1,48,12,33,25,2025-03-27 13:26:30
1,Umraniye,Noon,20%,40,Single,60,212,4.7,164,4.1,48,12,35,22,2025-03-27 13:26:35
2,Umraniye,Noon,20%,40,Single,60,210,4.5,160,4.2,48,12,42,21,2025-03-27 13:26:40
3,Umraniye,Noon,20%,40,Single,60,210,4.7,164,4.9,48,12,49,27,2025-03-27 13:26:45
4,Umraniye,Noon,20%,40,Single,60,212,4.6,164,4.2,48,12,52,24,2025-03-27 13:26:50
5,Umraniye,Noon,20%,40,Single,60,210,4.7,164,4.4,48,12,53,25,2025-03-27 13:26:55
6,Umraniye,Noon,20%,40,Single,60,208,5.2,164,4.4,48,12,56,26,2025-03-27 13:27:00
7,Umraniye,Noon,20%,40,Single,60,208,4.6,164,4.4,48,12,58,27,2025-03-27 13:27:05
8,Umraniye,Noon,20%,40,Single,60,210,4.2,164,4.1,48,12,59,28,2025-03-27 13:27:10
9,Umraniye,Noon,20%,40,Single,60,210,4.5,166,4.6,48,12,60,23,2025-03-27 13:27:15
10,Umraniye,Noon,20%,40,Single,60,208,4.3,158,4.5,48,12,62,23,2025-03-27 13:27:20
11,Umraniye,Noon,20%,40,Single,60,210,4.6,162,4.3,48,12,63,23,2025-03-27 13:27:25
12,Umraniye,Noon,20%,40,Single,60,212,4.6,162,4.1,48,12,66,29,2025-03-27 13:27:30
13,Umraniye,Noon,20%,40,Single,60,216,4.6,160,4.7,48,12,68,28,2025-03-27 13:27:35
14,Umraniye,Noon,20%,40,Single,60,212,4.6,162,4.1,48,12,69,30,2025-03-27 13:27:40
15,Umraniye,Noon,20%,40,Single,60,214,4.6,164,4.2,48,12,70,27,2025-03-27 13:27:45
16,Umraniye,Noon,20%,40,Single,60,216,4.6,164,4.5,48,12,72,27,2025-03-27 13:27:50
17,Umraniye,Noon,20%,40,Single,60,212,4.7,162,4.1,48,12,73,29,2025-03-27 13:27:55
18,Umraniye,Noon,20%,40,Single,60,208,5.0,162,4.2,48,12,73,26,2025-03-27 13:28:00
19,Umraniye,Noon,20%,40,Single,60,218,4.6,164,4.1,48,12,75,29,2025-03-27 13:28:05
20,Umraniye,Noon,20%,40,Single,60,212,5.3,162,4.2,48,12,77,28,2025-03-27 13:28:10
21,Umraniye,Noon,20%,40,Single,60,210,4.7,164,4.2,48,12,79,28,2025-03-27 13:28:15
22,Umraniye,Noon,20%,40,Single,60,216,4.6,162,4.1,48,12,79,26,2025-03-27 13:28:20
23,Umraniye,Noon,20%,40,Single,60,208,4.3,160,4.3,48,12,81,31,2025-03-27 13:28:25
24,Umraniye,Noon,20%,40,Single,60,212,4.7,162,4.2,48,12,82,29,2025-03-27 13:28:30
