index,location,time_of_day,soc,distance,coil_type,duration,v_pri_v,a_pri_a,v_sin_v,a_sin_a,v_sout_v,a_sout_a,t_coil_c,t_ambiant_c,timestamp
0,Umraniye,Morning,20%,80,Single,480,212,2.2,46,3.4,48,3,25,26,2025-05-06 09:07:28
1,Umraniye,Morning,20%,80,Single,480,217,2.2,46,3.5,48,3,28,23,2025-05-06 09:07:33
2,Umraniye,Morning,20%,80,Single,480,212,2.3,46,3.5,48,3,31,21,2025-05-06 09:07:38
3,Umraniye,Morning,20%,80,Single,480,216,2.2,46,3.3,48,3,40,30,2025-05-06 09:07:43
4,Umraniye,Morning,20%,80,Single,480,215,2.3,46,3.5,48,3,33,23,2025-05-06 09:07:48
5,Umraniye,Morning,20%,80,Single,480,215,2.3,46,3.5,48,3,45,30,2025-05-06 09:07:53
6,Umraniye,Morning,20%,80,Single,480,219,2.0,46,3.4,48,3,44,26,2025-05-06 09:07:58
7,Umraniye,Morning,20%,80,Single,480,218,2.4,46,3.8,48,3,53,29,2025-05-06 09:08:03
8,Umraniye,Morning,20%,80,Single,480,213,2.3,46,3.6,48,3,57,28,2025-05-06 09:08:08
9,Umraniye,Morning,20%,80,Single,480,215,2.0,46,3.2,48,3,55,29,2025-05-06 09:08:13
10,Umraniye,Morning,20%,80,Single,480,216,2.1,46,3.5,48,3,60,31,2025-05-06 09:08:18
11,Umraniye,Morning,20%,80,Single,480,213,2.2,46,3.4,48,3,68,26,2025-05-06 09:08:23
12,Umraniye,Morning,20%,80,Single,480,217,2.1,46,3.5,48,3,60,33,2025-05-06 09:08:28
13,Umraniye,Morning,20%,80,Single,480,218,2.2,46,3.6,48,3,77,31,2025-05-06 09:08:33
14,Umraniye,Morning,20%,80,Single,480,214,2.3,46,3.5,48,3,71,27,2025-05-06 09:08:38
15,Umraniye,Morning,20%,80,Single,480,213,2.2,46,3.4,48,3,68,27,2025-05-06 09:08:43
16,Umraniye,Morning,20%,80,Single,480,219,2.2,46,3.4,48,3,66,28,2025-05-06 09:08:48
17,Umraniye,Morning,20%,80,Single,480,214,2.2,46,3.4,48,3,90,27,2025-05-06 09:08:53
18,Umraniye,Morning,20%,80,Single,480,213,2.2,46,3.6,48,3,57,22,2025-05-06 09:08:58
19,Umraniye,Morning,20%,80,Single,480,213,2.3,46,3.5,48,3,85,25,2025-05-06 09:09:03
20,Umraniye,Morning,20%,80,Single,480,221,2.1,46,3.4,48,3,81,25,2025-05-06 09:09:08
21,Umraniye,Morning,20%,80,Single,480,216,2.2,46,3.6,48,3,84,27,2025-05-06 09:09:13
22,Umraniye,Morning,20%,80,Single,480,219,2.1,46,3.5,48,3,70,24,2025-05-06 09:09:18
23,Umraniye,Morning,20%,80,Single,480,210,2.2,46,3.5,48,3,82,31,2025-05-06 09:09:23
24,Umraniye,Morning,20%,80,Single,480,217,2.1,46,3.4,48,3,107,28,2025-05-06 09:09:28
25,Umraniye,Morning,20%,80,Single,480,214,2.2,46,3.4,48,3,102,27,2025-05-06 09:09:33
26,Umraniye,Morning,20%,80,Single,480,213,2.3,46,3.5,48,3,101,25,2025-05-06 09:09:38
27,Umraniye,Morning,20%,80,Single,480,212,2.2,46,3.5,48,3,101,28,2025-05-06 09:09:43
28,Umraniye,Morning,20%,80,Single,480,214,2.2,46,3.6,48,3,100,31,2025-05-06 09:09:48
29,Umraniye,Morning,20%,80,Single,480,215,2.2,46,3.5,48,3,108,22,2025-05-06 09:09:53
30,Umraniye,Morning,20%,80,Single,480,217,2.1,46,3.4,48,3,99,23,2025-05-06 09:09:58
31,Umraniye,Morning,20%,80,Single,480,216,2.2,46,3.5,48,3,115,24,2025-05-06 09:10:03
32,Umraniye,Morning,20%,80,Single,480,216,2.2,46,3.5,48,3,111,23,2025-05-06 09:10:08
33,Umraniye,Morning,20%,80,Single,480,211,2.2,46,3.6,48,3,105,23,2025-05-06 09:10:13
34,Umraniye,Morning,20%,80,Single,480,212,2.1,46,3.3,48,3,109,28,2025-05-06 09:10:18
35,Umraniye,Morning,20%,80,Single,480,213,2.3,46,3.7,48,3,104,28,2025-05-06 09:10:23
36,Umraniye,Morning,20%,80,Single,480,214,2.2,46,3.3,48,3,116,27,2025-05-06 09:10:28
37,Umraniye,Morning,20%,80,Single,480,213,2.1,46,3.5,48,3,101,29,2025-05-06 09:10:33
38,Umraniye,Morning,20%,80,Single,480,212,2.2,46,3.5,48,3,111,28,2025-05-06 09:10:38
39,Umraniye,Morning,20%,80,Single,480,218,2.1,46,3.3,48,3,108,25,2025-05-06 09:10:43
40,Umraniye,Morning,20%,80,Single,480,212,2.2,46,3.5,48,3,100,26,2025-05-06 09:10:48
41,Umraniye,Morning,20%,80,Single,480,213,2.1,46,3.4,48,3,112,29,2025-05-06 09:10:53
42,Umraniye,Morning,20%,80,Single,480,221,2.2,46,3.4,48,3,61,24,2025-05-06 09:10:58
43,Umraniye,Morning,20%,80,Single,480,211,2.1,46,3.4,48,3,116,29,2025-05-06 09:11:03
44,Umraniye,Morning,20%,80,Single,480,214,1.7,46,3.2,48,3,118,17,2025-05-06 09:11:08
45,Umraniye,Morning,20%,80,Single,480,218,2.3,46,3.6,48,3,106,28,2025-05-06 09:11:13
46,Umraniye,Morning,20%,80,Single,480,213,2.2,46,3.5,48,3,110,29,2025-05-06 09:11:18
47,Umraniye,Morning,20%,80,Single,480,217,2.1,46,3.5,48,3,111,25,2025-05-06 09:11:23
48,Umraniye,Morning,20%,80,Single,480,213,2.1,46,3.5,48,3,119,32,2025-05-06 09:11:28
49,Umraniye,Morning,20%,80,Single,480,222,2.2,46,3.5,48,3,121,32,2025-05-06 09:11:33
50,Umraniye,Morning,20%,80,Single,480,212,2.4,46,3.6,48,3,121,29,2025-05-06 09:11:38
51,Umraniye,Morning,20%,80,Single,480,210,2.3,46,3.4,48,3,120,34,2025-05-06 09:11:43
52,Umraniye,Morning,20%,80,Single,480,210,2.2,46,3.4,48,3,117,25,2025-05-06 09:11:48
53,Umraniye,Morning,20%,80,Single,480,213,2.3,46,3.5,48,3,92,31,2025-05-06 09:11:53
54,Umraniye,Morning,20%,80,Single,480,213,2.4,46,3.5,48,3,116,33,2025-05-06 09:11:58
55,Umraniye,Morning,20%,80,Single,480,215,2.0,46,3.3,48,3,121,24,2025-05-06 09:12:03
56,Umraniye,Morning,20%,80,Single,480,212,2.3,46,3.4,48,3,122,28,2025-05-06 09:12:08
57,Umraniye,Morning,20%,80,Single,480,219,1.3,46,3.5,48,3,115,23,2025-05-06 09:12:13
58,Umraniye,Morning,20%,80,Single,480,215,2.3,46,3.5,48,3,98,31,2025-05-06 09:12:18
59,Umraniye,Morning,20%,80,Single,480,215,2.1,46,3.4,48,3,122,34,2025-05-06 09:12:23
60,Umraniye,Morning,20%,80,Single,480,213,2.0,46,3.3,48,3,112,26,2025-05-06 09:12:28
61,Umraniye,Morning,20%,80,Single,480,219,2.1,46,3.6,48,3,113,28,2025-05-06 09:12:33
62,Umraniye,Morning,20%,80,Single,480,218,1.8,46,2.9,48,3,123,26,2025-05-06 09:12:38
63,Umraniye,Morning,20%,80,Single,480,214,2.3,46,3.7,48,3,121,37,2025-05-06 09:12:43
64,Umraniye,Morning,20%,80,Single,480,214,2.3,46,3.4,48,3,123,25,2025-05-06 09:12:48
65,Umraniye,Morning,20%,80,Single,480,215,2.2,46,3.4,48,3,108,25,2025-05-06 09:12:53
66,Umraniye,Morning,20%,80,Single,480,212,2.2,46,3.5,48,3,120,30,2025-05-06 09:12:58
67,Umraniye,Morning,20%,80,Single,480,212,2.2,46,3.4,48,3,104,28,2025-05-06 09:13:03
