index,location,time_of_day,soc,distance,coil_type,duration,v_pri_v,a_pri_a,v_sin_v,a_sin_a,v_sout_v,a_sout_a,t_coil_c,t_ambiant_c,timestamp
0,Umraniye,Evening,20%,80,Single,240,212,2.1,46,3.2,48,3,29,29,2025-05-07 15:00:55
1,Umraniye,Evening,20%,80,Single,240,214,2.1,44,3.3,48,3,34,31,2025-05-07 15:01:00
2,Umraniye,Evening,20%,80,Single,240,217,2.0,47,3.1,48,3,31,25,2025-05-07 15:01:05
3,Umraniye,Evening,20%,80,Single,240,214,2.0,46,3.2,48,3,39,29,2025-05-07 15:01:10
4,Umraniye,Evening,20%,80,Single,240,215,2.2,45,3.4,48,3,41,30,2025-05-07 15:01:15
5,Umraniye,Evening,20%,80,Single,240,218,16.0,44,3.4,48,3,50,29,2025-05-07 15:01:20
6,Umraniye,Evening,20%,80,Single,240,218,2.1,46,3.3,48,3,53,30,2025-05-07 15:01:25
7,Umraniye,Evening,20%,80,Single,240,213,2.2,48,3.2,48,3,44,25,2025-05-07 15:01:30
8,Umraniye,Evening,20%,80,Single,240,215,2.3,48,3.3,48,3,51,25,2025-05-07 15:01:35
9,Umraniye,Evening,20%,80,Single,240,215,2.2,45,3.5,48,3,53,30,2025-05-07 15:01:40
10,Umraniye,Evening,20%,80,Single,240,218,2.1,45,3.5,48,3,57,25,2025-05-07 15:01:45
11,Umraniye,Evening,20%,80,Single,240,214,2.0,46,3.3,48,3,79,29,2025-05-07 15:01:50
12,Umraniye,Evening,20%,80,Single,240,218,1.2,45,3.2,48,3,67,26,2025-05-07 15:01:55
13,Umraniye,Evening,20%,80,Single,240,219,2.2,46,3.5,48,3,77,26,2025-05-07 15:02:00
14,Umraniye,Evening,20%,80,Single,240,216,2.0,46,3.2,48,3,74,29,2025-05-07 15:02:05
15,Umraniye,Evening,20%,80,Single,240,215,2.0,46,3.2,48,3,79,26,2025-05-07 15:02:10
16,Umraniye,Evening,20%,80,Single,240,213,2.1,42,3.6,48,3,77,28,2025-05-07 15:02:15
17,Umraniye,Evening,20%,80,Single,240,216,2.0,46,3.2,48,3,85,33,2025-05-07 15:02:20
18,Umraniye,Evening,20%,80,Single,240,216,2.1,46,3.3,48,3,89,32,2025-05-07 15:02:25
19,Umraniye,Evening,20%,80,Single,240,217,2.0,45,3.5,48,3,87,26,2025-05-07 15:02:30
20,Umraniye,Evening,20%,80,Single,240,214,2.2,45,3.5,48,3,85,30,2025-05-07 15:02:35
21,Umraniye,Evening,20%,80,Single,240,211,2.1,44,3.5,48,3,91,26,2025-05-07 15:02:40
22,Umraniye,Evening,20%,80,Single,240,214,2.3,43,3.7,48,3,89,25,2025-05-07 15:02:45
23,Umraniye,Evening,20%,80,Single,240,217,2.1,47,3.3,48,3,85,27,2025-05-07 15:02:50
24,Umraniye,Evening,20%,80,Single,240,216,2.2,45,3.5,48,3,94,32,2025-05-07 15:02:55
25,Umraniye,Evening,20%,80,Single,240,215,2.1,47,3.1,48,3,91,29,2025-05-07 15:03:00
26,Umraniye,Evening,20%,80,Single,240,215,2.1,46,3.1,48,3,88,30,2025-05-07 15:03:05
27,Umraniye,Evening,20%,80,Single,240,218,2.0,48,3.1,48,3,88,30,2025-05-07 15:03:10
28,Umraniye,Evening,20%,80,Single,240,214,2.0,46,3.3,48,3,93,23,2025-05-07 15:03:15
29,Umraniye,Evening,20%,80,Single,240,212,2.0,46,3.2,48,3,83,28,2025-05-07 15:03:20
30,Umraniye,Evening,20%,80,Single,240,213,2.1,49,3.0,48,3,94,31,2025-05-07 15:03:25
